route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10612,2_merged_1235635,1177999,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1178000,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89022,120085
10612,2_merged_1235635,1178001,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1178002,46 - VINE ST-Downtown Hartford,1,b_89070,120086
10612,2_merged_1235635,1178003,46 - VINE ST-Downtown Hartford,1,b_89071,120086
10612,2_merged_1235635,1178004,46 - VINE ST-Downtown Hartford,1,b_89072,120086
10612,2_merged_1235635,1178005,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,2_merged_1235635,1178006,46 - VINE ST-Downtown Hartford,1,b_89069,120086
10612,2_merged_1235635,1178007,46 - VINE ST-Downtown Hartford,1,b_89070,120086
10612,2_merged_1235635,1178008,46 - VINE ST-Downtown Hartford,1,b_89022,120086
10612,2_merged_1235635,1178009,46 - VINE ST-Downtown Hartford,1,b_89071,120086
10612,2_merged_1235635,1178010,46 - VINE ST-Downtown Hartford,1,b_89072,120086
10612,2_merged_1235635,1178011,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,2_merged_1235635,1178012,46 - VINE ST-Downtown Hartford,1,b_89069,120086
10612,2_merged_1235635,1178013,46 - VINE ST-Downtown Hartford,1,b_89070,120086
10612,2_merged_1235635,1178014,46 - VINE ST-Downtown Hartford,1,b_89022,120086
10612,2_merged_1235635,1178015,46 - VINE ST-Downtown Hartford,1,b_89071,120086
10612,2_merged_1235635,1178016,46 - VINE ST-Downtown Hartford,1,b_89072,120086
10612,2_merged_1235635,1178017,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,2_merged_1235635,1178018,46 - VINE ST-Downtown Hartford,1,b_89069,120086
10612,2_merged_1235635,1178019,46 - VINE ST-Downtown Hartford,1,b_89070,120086
10612,2_merged_1235635,1178020,46 - VINE ST-Downtown Hartford,1,b_89022,120086
10612,2_merged_1235635,1178021,46 - VINE ST-Downtown Hartford,1,b_89071,120086
10612,2_merged_1235635,1178022,46 - VINE ST-Downtown Hartford,1,b_89072,120086
10612,2_merged_1235635,1178023,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,2_merged_1235635,1178024,46 - VINE ST-Downtown Hartford,1,b_89069,120086
10612,2_merged_1235635,1178025,46 - VINE ST-Downtown Hartford,1,b_89070,120086
10612,2_merged_1235635,1178026,46 - VINE ST-Downtown Hartford,1,b_89022,120086
10612,2_merged_1235635,1178027,46 - VINE ST-Downtown Hartford,1,b_89071,120086
10612,2_merged_1235635,1178028,46 - VINE ST-Downtown Hartford,1,b_89072,120086
10612,2_merged_1235635,1178029,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,2_merged_1235635,1178030,46 - VINE ST-Downtown Hartford,1,b_89069,120086
10612,2_merged_1235635,1178031,46 - VINE ST-Downtown Hartford,1,b_89070,120086
10612,2_merged_1235635,1178032,46 - VINE ST-Downtown Hartford,1,b_89022,120086
10612,2_merged_1235635,1178033,46 - VINE ST-Downtown Hartford,1,b_89071,120086
10612,2_merged_1235635,1178034,46 - VINE ST-Downtown Hartford,1,b_89073,120086
10612,2_merged_1235635,1178035,46 - VINE ST-Downtown Hartford,1,b_89022,120086
